PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,USG_PCT,PPM,IMPACT_SCORE,TEAM_NAME,PACE,PTS_PER100,REB_PER100,AST_PER100,LOGS_MEAN,LOGS_STD,LOGS_SAMPLE_SIZE,CV,MODEL_ASSIGNMENT
1642290,Aaliyah Edwards,1611661323,CON,36,534.1316666666667,194,132,20,0.188,0.3632063255314701,65.048,Connecticut Sun,94.57,205.1390504388284,139.57914772126466,21.148355715343133,7.857142857142857,2.4784787961282104,7,0.3154427558708632,Negative Binomial
1629501,Alanna Smith,1611661324,MIN,42,1113.6733333333334,404,214,121,0.172,0.3627634674440739,127.108,Minnesota Lynx,94.06,429.5130767595152,227.51435254093133,128.641292791835,4.428571428571429,3.101458950082625,7,0.700329440341238,Negative Binomial
1641648,Aliyah Boston,1611661325,IND,44,1326.8016666666667,660,361,163,0.215,0.4974368186151911,254.56,Indiana Fever,95.71,689.5831156618954,377.1810678090064,170.3061331104378,17.142857142857142,5.336308693862311,7,0.3112846738086348,Negative Binomial
1628277,Allisha Gray,1611661330,ATL,42,1450.5966666666666,773,223,147,0.216,0.5328841695026645,246.888,Atlanta Dream,93.08,830.468414267297,239.57885689729267,157.9286635152557,16.571428571428573,4.894116973712515,7,0.2953346449654104,Negative Binomial
203826,Alyssa Thomas,1611661317,PHX,39,1220.61,599,344,357,0.238,0.4907382374386577,309.4,Phoenix Mercury,95.81,625.1956998225655,359.0439411334934,372.61246216470096,12.285714285714286,6.600865744084527,7,0.5372797698673452,Negative Binomial
1629539,Amy Okonkwo,1611661321,DAL,8,156.82333333333332,88,25,6,0.207,0.5611409866729016,24.633,Dallas Wings,96.34,91.34315964293128,25.949761262196382,6.227942702927133,1.0,0.0,1,0.0,Negative Binomial
1642797,Anastasiia Olairi Kosu,1611661324,MIN,21,79.55333333333333,35,15,5,0.217,0.4399564233637811,11.935,Minnesota Lynx,94.06,37.21029130342335,15.94726770146715,5.315755900489049,3.2857142857142856,2.9277002188456,7,0.8910391970399651,Negative Binomial
1642800,Aneesah Morrow,1611661323,CON,41,774.5666666666667,314,282,21,0.212,0.4053879588587167,130.804,Connecticut Sun,94.57,332.0291847308872,298.1918155863382,22.20577350111029,8.428571428571429,6.133436852128472,7,0.7276958977101577,Negative Binomial
1628878,Ariel Atkins,1611661329,CHI,34,970.3266666666668,447,114,122,0.216,0.4606696026767617,147.528,Chicago Sky,93.75,476.8,121.6,130.13333333333333,6.142857142857143,3.933978962347216,7,0.6404151799169886,Negative Binomial
1629481,Arike Ogunbowale,1611661321,DAL,29,965.7833333333332,450,72,120,0.221,0.4659430168947487,141.882,Dallas Wings,96.34,467.095702719535,74.73531243512559,124.55885405854264,9.285714285714286,6.047431568147636,7,0.65126186118513,Negative Binomial
1642793,Aziaha James,1611661321,DAL,38,672.7,285,111,59,0.211,0.4236658242901739,96.005,Dallas Wings,96.34,295.82727838903884,115.21694000415197,61.24143657878347,5.857142857142857,5.727959829601096,7,0.9779443611514066,Negative Binomial
1628922,Azura Stevens,1611661320,LAS,44,1249.2933333333333,561,352,94,0.187,0.4490538651184136,188.309,Los Angeles Sparks,96.84,579.3060718711276,363.4861627426683,97.06732755059892,11.857142857142858,5.756983337031396,7,0.4855287151713225,Negative Binomial
1627668,Breanna Stewart,1611661313,NYL,31,948.4,566,203,108,0.261,0.5967946014339941,228.897,New York Liberty,95.75,591.1227154046998,212.01044386422976,112.79373368146214,19.428571428571427,7.568732673685488,7,0.3895671229102825,Negative Binomial
1642788,Bree Hall,1611661325,IND,4,17.466666666666665,3,3,0,0.237,0.1717557251908397,1.422,Indiana Fever,95.71,3.1344687075540696,3.1344687075540696,0.0,5.0,0.0,1,0.0,Negative Binomial
1629488,Brianna Turner,1611661325,IND,27,232.65666666666667,30,50,17,0.084,0.1289453701448486,8.148,Indiana Fever,95.71,31.3446870755407,52.24114512590117,17.761989342806395,1.4285714285714286,2.225394561056747,7,1.557776192739723,Negative Binomial
1629524,Bridget Carleton,1611661324,MIN,44,1227.3583333333331,285,158,89,0.109,0.2322060251352838,57.988,Minnesota Lynx,94.06,302.99808632787585,167.97788645545396,94.62045502870508,14.857142857142858,7.537209285241044,7,0.5073121634296857,Negative Binomial
203398,Brittney Griner,1611661330,ATL,39,810.005,382,203,33,0.215,0.4716020271479805,132.87,Atlanta Dream,93.08,410.3996562097121,218.09196390201976,35.45337344220026,14.0,7.371114795831994,7,0.5265081997022852,Negative Binomial
1628279,Brittney Sykes,1611661328,SEA,39,1193.4216666666666,550,123,155,0.237,0.4608597408292403,196.236,Seattle Storm,95.28,577.2460117548278,129.09319899244332,162.6784214945424,19.571428571428573,9.519403742832196,7,0.4863928919695282,Negative Binomial
1642287,Cameron Brink,1611661320,LAS,19,244.405,96,82,9,0.198,0.3927906548556699,37.026,Los Angeles Sparks,96.84,99.13258983890954,84.67575382073524,9.293680297397769,8.142857142857142,4.6700667885506535,7,0.5735169740325364,Negative Binomial
202664,Courtney Vandersloot,1611661329,CHI,7,190.66166666666663,74,22,37,0.178,0.3881220661380981,23.674,Chicago Sky,93.75,78.93333333333334,23.466666666666665,39.46666666666667,8.666666666666666,3.2145502536643185,3,0.3709096446535752,Negative Binomial
1627675,Courtney Williams,1611661324,MIN,44,1260.1666666666667,599,216,271,0.249,0.4753339505356434,270.414,Minnesota Lynx,94.06,636.8275568785881,229.6406549011269,288.1139698065065,14.714285714285714,6.019808571549035,7,0.409113203891682,Negative Binomial
203024,Damiris Dantas,1611661325,IND,38,438.5683333333333,175,91,25,0.209,0.3990256174446399,60.819,Indiana Fever,95.71,182.84400794065408,95.07888412914012,26.120572562950585,2.571428571428572,1.2724180205607036,7,0.4948292302180513,Negative Binomial
201886,DeWanna Bonner,1611661317,PHX,33,778.3183333333334,325,137,38,0.181,0.4175669338381253,90.5,Phoenix Mercury,95.81,339.21302578019,142.99133702118775,39.66183070660683,9.857142857142858,2.672612419124244,7,0.2711345932444884,Negative Binomial
204324,Dearica Hamby,1611661320,LAS,44,1374.28,811,349,144,0.246,0.590127193876066,320.784,Los Angeles Sparks,96.84,837.4638579099546,360.3882693102024,148.6988847583643,13.0,5.163977794943222,7,0.3972290611494786,Negative Binomial
1641649,Diamond Miller,1611661321,DAL,40,434.20666666666665,160,52,31,0.178,0.368488123934839,43.254,Dallas Wings,96.34,166.07847207805688,53.97550342536849,32.17770396512352,6.0,2.70801280154532,7,0.45133546692422,Negative Binomial
1642798,Dominique Malonga,1611661328,SEA,42,600.0016666666667,323,195,36,0.239,0.5383318379671168,132.406,Seattle Storm,95.28,339.0008396305625,204.65994962216624,37.78337531486146,16.0,11.87434208703792,7,0.7421463804398699,Negative Binomial
204322,Elizabeth Williams,1611661329,CHI,43,906.3733333333332,364,223,78,0.201,0.4016005178145871,133.66500000000002,Chicago Sky,93.75,388.26666666666665,237.86666666666667,83.2,4.857142857142857,3.0783421635988546,7,0.6337763277997642,Negative Binomial
1628242,Emma Cannon,1611661320,LAS,21,213.0,93,38,8,0.178,0.4366197183098591,24.742,Los Angeles Sparks,96.84,96.03469640644362,39.23998347790169,8.26104915324246,4.833333333333333,3.311595788538611,6,0.6851577493528161,Negative Binomial
